project_name,watershed,block,plot,bison,small_mammal,invertebrates,trt
conSME,N1A,A,1,X,X,I,XXI
conSME,N1A,A,2,X,S,I,XSI
conSME,N1A,A,3,B,S,I,BSI
conSME,N1A,A,4,X,X,X,XXX
conSME,N1A,A,5,X,S,X,XSX
conSME,N1A,A,6,B,S,X,BSX
conSME,N1A,B,1,X,X,I,XXI
conSME,N1A,B,2,X,S,I,XSI
conSME,N1A,B,3,B,S,I,BSI
conSME,N1A,B,4,X,X,X,XXX
conSME,N1A,B,5,X,S,X,XSX
conSME,N1A,B,6,B,S,X,BSX
conSME,N1A,C,1,X,X,I,XXI
conSME,N1A,C,2,X,S,I,XSI
conSME,N1A,C,3,B,S,I,BSI
conSME,N1A,C,4,X,X,X,XXX
conSME,N1A,C,5,X,S,X,XSX
conSME,N1A,C,6,B,S,X,BSX
conSME,N1A,D,1,X,X,I,XXI
conSME,N1A,D,2,X,S,I,XSI
conSME,N1A,D,3,B,S,I,BSI
conSME,N1A,D,4,X,X,X,XXX
conSME,N1A,D,5,X,S,X,XSX
conSME,N1A,D,6,B,S,X,BSX
conSME,N1A,E,1,X,X,X,XXX
conSME,N1A,E,2,X,S,X,XSX
conSME,N1A,E,3,B,S,X,BSX
conSME,N1A,E,4,X,X,I,XXI
conSME,N1A,E,5,X,S,I,XSI
conSME,N1A,E,6,B,S,I,BSI
conSME,N1A,F,1,X,X,X,XXX
conSME,N1A,F,2,X,S,X,XSX
conSME,N1A,F,3,B,S,X,BSX
conSME,N1A,F,4,X,X,I,XXI
conSME,N1A,F,5,X,S,I,XSI
conSME,N1A,F,6,B,S,I,BSI
conSME,N1A,G,1,X,X,I,XXI
conSME,N1A,G,2,X,S,I,XSI
conSME,N1A,G,3,B,S,I,BSI
conSME,N1A,G,4,X,X,X,XXX
conSME,N1A,G,5,X,S,X,XSX
conSME,N1A,G,6,B,S,X,BSX
conSME,N1A,H,1,X,X,I,XXI
conSME,N1A,H,2,X,S,I,XSI
conSME,N1A,H,3,B,S,I,BSI
conSME,N1A,H,4,X,X,X,XXX
conSME,N1A,H,5,X,S,X,XSX
conSME,N1A,H,6,B,S,X,BSX
conSME,N1A,I,1,X,X,I,XXI
conSME,N1A,I,2,X,S,I,XSI
conSME,N1A,I,3,B,S,I,BSI
conSME,N1A,I,4,X,X,X,XXX
conSME,N1A,I,5,X,S,X,XSX
conSME,N1A,I,6,B,S,X,BSX
conSME,N4B,J,1,X,X,I,XXI
conSME,N4B,J,2,X,S,I,XSI
conSME,N4B,J,3,B,S,I,BSI
conSME,N4B,J,4,X,X,X,XXX
conSME,N4B,J,5,X,S,X,XSX
conSME,N4B,J,6,B,S,X,BSX
conSME,N4B,K,1,X,X,I,XXI
conSME,N4B,K,2,X,S,I,XSI
conSME,N4B,K,3,B,S,I,BSI
conSME,N4B,K,4,X,X,X,XXX
conSME,N4B,K,5,X,S,X,XSX
conSME,N4B,K,6,B,S,X,BSX
conSME,N4B,L,1,X,X,I,XXI
conSME,N4B,L,2,X,S,I,XSI
conSME,N4B,L,3,B,S,I,BSI
conSME,N4B,L,4,X,X,X,XXX
conSME,N4B,L,5,X,S,X,XSX
conSME,N4B,L,6,B,S,X,BSX
conSME,N4B,M,1,X,X,I,XXI
conSME,N4B,M,2,X,S,I,XSI
conSME,N4B,M,3,B,S,I,BSI
conSME,N4B,M,4,X,X,X,XXX
conSME,N4B,M,5,X,S,X,XSX
conSME,N4B,M,6,B,S,X,BSX
conSME,N4B,N,1,X,X,I,XXI
conSME,N4B,N,2,X,S,I,XSI
conSME,N4B,N,3,B,S,I,BSI
conSME,N4B,N,4,X,X,X,XXX
conSME,N4B,N,5,X,S,X,XSX
conSME,N4B,N,6,B,S,X,BSX
conSME,N4B,O,1,X,X,I,XXI
conSME,N4B,O,2,X,S,I,XSI
conSME,N4B,O,3,B,S,I,BSI
conSME,N4B,O,4,X,X,X,XXX
conSME,N4B,O,5,X,S,X,XSX
conSME,N4B,O,6,B,S,X,BSX
conSME,N4B,P,1,X,X,X,XXX
conSME,N4B,P,2,X,S,X,XSX
conSME,N4B,P,3,B,S,X,BSX
conSME,N4B,P,4,X,X,I,XXI
conSME,N4B,P,5,X,S,I,XSI
conSME,N4B,P,6,B,S,I,BSI
conSME,N4B,Q,1,X,X,X,XXX
conSME,N4B,Q,2,X,S,X,XSX
conSME,N4B,Q,3,B,S,X,BSX
conSME,N4B,Q,4,X,X,I,XXI
conSME,N4B,Q,5,X,S,I,XSI
conSME,N4B,Q,6,B,S,I,BSI
conSME,N4B,R,1,X,X,I,XXI
conSME,N4B,R,2,X,S,I,XSI
conSME,N4B,R,3,B,S,I,BSI
conSME,N4B,R,4,X,X,X,XXX
conSME,N4B,R,5,X,S,X,XSX
conSME,N4B,R,6,B,S,X,BSX
