sppnum,genus_species,lifeform,N1A,N4B
60,symphyotrichum_sericeum,f,NA,1
83,hieracium_longipilum,f,NA,2
187,verbascum_blattaria,f,NA,1
216,euphorbia_serpens,f,NA,14
438,ammannia_coccinea,f,NA,1
523,euphorbia_maculata,f,NA,6
539,lepidium_virginicum,f,NA,6
300,euphorbia_nutans,f,101,44
46,ambrosia_psilostachya,f,84,59
140,vernonia_baldwinii,f,76,29
139,verbena_stricta,f,68,39
86,brickellia_eupatorioides,f,67,44
58,symphyotrichum_ericoides,f,66,90
143,lespedeza_violacea,f,66,11
127,solidago_altissima,f,57,20
90,lespedeza_capitata,f,54,15
103,oxalis_violacea,f,50,62
120,ruellia_humilis,f,37,42
52,artemisia_ludoviciana,f,32,28
114,plantago_rhodosperma,f,29,18
109,dalea_purpurea,f,28,56
111,physalis_pumila,f,28,37
92,linum_sulcatum,f,26,18
106,dalea_candida,f,26,6
130,solidago_rigida,f,26,22
102,oxalis_stricta,f,24,20
89,lepidium_densiflorum,f,23,20
118,ratibida_columnifera,f,22,10
151,kummerowia_stipulacea,f,22,2
72,croton_monanthogynus,f,20,31
79,euphorbia_spathulata,f,20,NA
211,ambrosia_artemisiifolia,f,20,8
75,draba_reptans,f,19,2
77,erigeron_strigosus,f,19,1
107,dalea_multiflora,f,18,1
71,conyza_canadensis,f,17,1
80,euphorbia_glyptosperma,f,16,1
122,mimosa_quadrivalvis,f,15,35
55,asclepias_verticillata,f,14,24
128,solidago_missouriensis,f,14,20
85,hymenopappus_scabiosaeus,f,12,3
115,polygala_verticillata,f,12,6
327,malvastrum_angustum,f,11,12
61,astragalus_crassicarpus,f,10,6
112,physalis_virginiana,f,10,1
132,spermolepis_inermis,f,10,1
82,hedeoma_hispida,f,9,2
137,triodanis_perfoliata,f,9,1
69,callirhoe_involucrata,f,8,7
84,hybanthus_verticillatus,f,8,23
124,silene_antirrhina,f,8,6
193,euphorbia_dentata,f,8,NA
206,viola_nephrophylla,f,8,3
59,symphyotrichum_oblongifolium,f,7,40
99,oenothera_speciosa,f,7,4
126,solanum_carolinense,f,7,6
138,glandularia_bipinnatifida,f,7,6
253,mirabilis_linearis,f,7,2
433,desmodium_paniculatum,f,7,NA
428,evolvulus_nuttallianus,f,6,12
56,asclepias_viridis,f,5,3
100,oenothera_biennis,f,5,NA
116,pediomelum_esculentum,f,5,11
194,physalis_heterophylla,f,5,NA
44,achillea_millefolium,f,4,4
76,echinacea_angustifolia,f,4,24
223,stenaria_nigricans,f,4,NA
338,plantago_patagonica,f,4,1
47,androsace_occidentalis,f,3,NA
70,cirsium_undulatum,f,3,5
78,euphorbia_marginata,f,3,4
104,penstemon_cobaea,f,3,17
121,salvia_azurea,f,3,5
123,packera_plattensis,f,3,10
134,tragia_betonicifolia,f,3,49
50,apocynum_cannabinum,f,2,18
74,descurainia_pinnata,f,2,NA
91,liatris_punctata,f,2,12
94,lomatium_foeniculaceum,f,2,9
136,triodanis_leptocarpa,f,2,NA
141,viola_bicolor,f,2,2
152,asclepias_viridiflora,f,2,4
183,grindelia_squarrosa,f,2,NA
208,solanum_rostratum,f,2,NA
256,trichostema_brachiatum,f,2,NA
270,symphyotrichum_lanceolatum,f,2,2
429,ipomoea_hederacea,f,2,NA
48,anemone_caroliniana,f,1,NA
49,antennaria_neglecta,f,1,NA
54,asclepias_stenophylla,f,1,NA
62,astragalus_lotiflorus,f,1,NA
73,delphinium_carolinianum,f,1,NA
93,lithospermum_incisum,f,1,8
129,solidago_mollis,f,1,NA
149,scutellaria_parvula,f,1,15
155,agalinis_aspera,f,1,1
156,acalypha_virginica,f,1,NA
162,taraxacum_officinale,f,1,NA
217,helianthus_annuus,f,1,NA
265,asclepias_sullivantii,f,1,NA
384,solanum_ptycanthum,f,1,NA
407,cirsium_altissimum,f,1,5
525,arenaria_serpyllifolia,f,1,1
150,agrostis_hyemalis,g,NA,1
340,muhlenbergia_racemosa,g,NA,2
2,andropogon_gerardii,g,107,107
18,sorghastrum_nutans,g,104,102
4,bouteloua_curtipendula,g,81,104
3,schizachyrium_scoparium,g,77,94
14,dichanthelium_oligosanthes,g,68,51
21,sporobolus_compositus,g,32,56
15,panicum_virgatum,g,23,26
6,bouteloua_hirsuta,g,19,18
11,eragrostis_spectabilis,g,17,25
28,hordeum_pusillum,g,11,NA
5,bouteloua_gracilis,g,9,1
218,tridens_flavus,g,9,1
7,bouteloua_dactyloides,g,8,9
25,bromus_arvensis,g,6,NA
30,schedonnardus_paniculatus,g,6,NA
27,vulpia_octoflora,g,5,2
23,sporobolus_heterolepis,g,2,2
12,koeleria_macrantha,g,1,NA
125,sisyrinchium_campestre,m,3,9
501,ophioglossum_vulgatum,o,NA,3
38,eleocharis_compressa,s,NA,4
34,carex_meadii,s,81,56
33,carex_inops,s,55,38
519,carex_austrina,s,32,9
31,carex_brevior,s,22,13
165,cyperus_spp.,s,14,6
32,carex_gravida,s,8,3
41,ceanothus_herbaceus,f,NA,11
510,ulmus_rubra,f,NA,2
234,rhus_glabra,f,44,1
158,ulmus_americana,f,20,13
42,rosa_arkansana,f,14,4
40,amorpha_canescens,f,12,5
43,symphoricarpos_orbiculatus,f,8,18
148,prunus_americana,f,2,NA
164,cornus_drummondii,f,2,3
231,toxicodendron_radicans,f,2,NA
262,rhus_aromatica,f,1,NA
